time,lasttime,lat,lng,speed,course,altitude,comment
2023-05-31 20:50:10,2023-05-31 20:50:10,44.04600,-123.07367,9,340,162.76,"002TxC  25.80C 1029.14hPa  4.95V 05S SEELAB at UO"
2023-05-31 20:51:25,2023-05-31 20:51:25,44.04600,-123.07383,0,340,140.51,"003TxC 27.60C 1117.01hPa 5.77V 04S SEELAB at UO"
2023-05-31 20:52:40,2023-05-31 20:52:40,44.04617,-123.07383,6,319,163.98,"004TxC 27.00C 1082.47hPa 6.04V 05S SEELAB at UO"
2023-05-31 20:53:54,2023-05-31 20:53:54,44.04617,-123.07367,4,343,130.15,"005TxC 28.60C 1151.10hPa 6.14V 05S SEELAB at UO"
2023-05-31 20:55:09,2023-05-31 20:55:09,44.04600,-123.07383,4,123,149.05,"006TxC 31.00C 1246.35hPa 6.12V 06S SEELAB at UO"
2023-05-31 20:56:24,2023-05-31 20:56:24,44.04600,-123.07367,4,123,148.13,"007TxC 29.10C 1144.67hPa 6.17V 05S SEELAB at UO"
2023-05-31 20:57:41,2023-05-31 20:57:41,44.04633,-123.07383,6,123,138.38,"008TxC 25.00C 1082.39hPa 6.06V 05S SEELAB at UO"
2023-05-31 20:58:58,2023-05-31 20:58:58,44.04633,-123.07400,4,165,157.58,"009TxC 30.90C 1333.75hPa 6.04V 06S SEELAB at UO"
2023-05-31 21:01:38,2023-05-31 21:01:38,44.04617,-123.07400,2,165,135.64,"011TxC 38.80C 1500.72hPa 5.86V 04S SEELAB at UO"
2023-05-31 21:03:08,2023-05-31 21:03:08,44.04600,-123.07367,9,154,176.78,"012TxC 41.50C 1499.41hPa 5.64V 04S SEELAB at UO"
2023-05-31 21:04:23,2023-05-31 21:04:23,44.04633,-123.07383,0,154,202.08,"013TxC 34.30C 1093.36hPa 5.61V 05S SEELAB at UO"
2023-06-01 17:50:05,2023-06-01 17:51:16,44.05033,-123.07283,0,0,129.24,"003TxC 19.40C 888.40hPa 5.73V 08S SEELAB at UO"
2023-06-01 17:52:28,2023-06-01 17:52:28,44.05033,-123.07250,13,111,150.88,"004TxC 18.50C 838.09hPa 5.99V 12S SEELAB at UO"
2023-06-01 17:53:40,2023-06-01 17:53:40,44.04850,-123.07133,11,182,159.41,"005TxC 18.70C 840.53hPa 6.14V 12S SEELAB at UO"
2023-06-01 17:54:52,2023-06-01 17:54:52,44.04550,-123.07133,17,170,198.12,"006TxC 18.80C 847.31hPa 6.27V 12S SEELAB at UO"
2023-06-01 17:56:04,2023-06-01 17:56:04,44.04183,-123.06983,20,156,273.41,"007TxC 20.10C 897.44hPa 6.32V 11S SEELAB at UO"
2023-06-01 17:57:17,2023-06-01 17:57:17,44.03867,-123.06833,15,163,349.30,"008TxC 19.80C 877.52hPa 6.32V 12S SEELAB at UO"
2023-06-01 17:58:28,2023-06-01 17:58:28,44.03567,-123.06650,19,164,400.51,"009TxC 19.70C 869.89hPa 6.35V 12S SEELAB at UO"
2023-06-01 17:59:40,2023-06-01 17:59:40,44.03183,-123.06500,24,161,478.23,"010TxC 19.30C 847.43hPa 6.35V 10S SEELAB at UO"
2023-06-01 18:02:03,2023-06-01 18:02:03,44.02400,-123.06117,22,150,526.39,"012TxC 7.50C 771.79hPa 6.47V 12S SEELAB at UO"
2023-06-01 18:03:15,2023-06-01 18:03:15,44.02067,-123.05883,19,144,522.43,"013TxC 17.50C 802.66hPa 6.43V 12S SEELAB at UO"
2023-06-01 18:04:26,2023-06-01 18:04:26,44.01717,-123.05650,17,173,525.17,"014TxC 16.50C 721.62hPa 6.43V 12S SEELAB at UO"
2023-06-01 18:05:38,2023-06-01 18:05:38,44.01367,-123.05483,19,146,525.17,"015TxC 16.40C 721.89hPa 6.45V 12S SEELAB at UO"
2023-06-01 18:06:50,2023-06-01 18:06:50,44.01050,-123.05217,20,145,513.28,"016TxC 9.00C 738.58hPa 6.45V 12S SEELAB at UO"
2023-06-01 18:08:01,2023-06-01 18:08:01,44.00750,-123.04917,19,143,475.49,"017TxC 17.60C 777.53hPa 6.47V 11S SEELAB at UO"
2023-06-01 18:09:13,2023-06-01 18:09:13,44.00433,-123.04617,24,147,452.63,"018TxC 17.50C 778.02hPa 6.45V 11S SEELAB at UO"
2023-06-01 18:10:25,2023-06-01 18:10:25,44.00150,-123.04283,17,137,472.14,"019TxC 18.50C 826.40hPa 6.45V 12S SEELAB at UO"
