time,lasttime,lat,lng,speed,course,altitude,comment
2023-06-01 18:02:26,2023-06-01 18:02:26,44.05073,-123.07309,0,0,138.99,"002TxC 18.40C 1000.29hPa 5.25V 05S SEE Lab at UO"
2023-06-01 18:06:21,2023-06-01 18:06:21,44.04541,-123.07040,17,143,234.09,"003TxC 14.50C 971.66hPa 5.38V 04S SEE Lab at UO"
2023-06-01 18:09:59,2023-06-01 18:09:59,44.03741,-123.06395,19,149,315.77,"004TxC 19.40C 982.34hPa 5.51V 05S SEE Lab at UO"
2023-06-01 18:10:59,2023-06-01 18:10:59,44.03502,-123.06227,17,142,327.05,"005TxC 18.40C 981.79hPa 5.91V 05S SEE Lab at UO"
2023-06-01 18:12:01,2023-06-01 18:12:01,44.03310,-123.06030,17,141,368.50,"006TxC 14.10C 966.45hPa 6.09V 04S SEE Lab at UO"
2023-06-01 18:16:59,2023-06-01 18:16:59,44.02209,-123.05125,19,137,386.49,"008TxC 17.80C 974.69hPa 6.04V 05S SEE Lab at UO"
2023-06-01 18:20:00,2023-06-01 18:20:00,44.01623,-123.04532,15,156,274.32,"009TxC 18.70C 988.15hPa 5.59V 05S SEE Lab at UO"
2023-06-01 18:21:01,2023-06-01 18:21:01,44.01447,-123.04383,20,142,301.45,"010TxC 16.00C 980.51hPa 5.96V 05S SEE Lab at UO"
2023-06-01 18:22:02,2023-06-01 18:22:02,44.01141,-123.04156,20,147,426.72,"011TxC 16.90C 968.86hPa 6.17V 05S SEE Lab at UO"
2023-06-01 18:29:59,2023-06-01 18:29:59,43.98680,-123.02149,26,150,576.07,"014TxC 18.10C 952.28hPa 5.63V 05S SEE Lab at UO"
2023-06-01 18:30:59,2023-06-01 18:30:59,43.98428,-123.01992,17,138,581.86,"015TxC 18.00C 952.51hPa 6.01V 05S SEE Lab at UO"
2023-06-01 18:32:00,2023-06-01 18:32:00,43.98226,-123.01789,17,148,570.89,"016TxC 17.40C 952.63hPa 6.14V 04S SEE Lab at UO"
2023-06-01 18:33:03,2023-06-01 18:33:03,43.98021,-123.01612,20,135,571.20,"017TxC -1.40C 962.63hPa 6.20V 04S SEE Lab at UO"
2023-06-01 18:36:03,2023-06-01 18:36:03,43.97298,-123.01101,17,143,604.72,"018TxC 19.10C 949.12hPa 5.69V 05S SEE Lab at UO"
2023-06-01 18:41:00,2023-06-01 18:41:00,43.96243,-123.00261,13,153,541.63,"020TxC 18.30C 954.66hPa 6.06V 04S SEE Lab at UO"
2023-06-01 18:42:02,2023-06-01 18:42:02,43.96025,-123.00121,15,135,559.61,"021TxC 18.00C 955.67hPa 6.17V 04S SEE Lab at UO"
2023-06-01 18:49:59,2023-06-01 18:49:59,43.94052,-122.99348,17,173,618.13,"023TxC 19.10C 946.52hPa 5.66V 05S SEE Lab at UO"
2023-06-01 18:51:01,2023-06-01 18:51:01,43.93829,-122.99304,13,179,702.56,"024TxC 18.80C 937.73hPa 6.04V 05S SEE Lab at UO"
2023-06-01 18:52:01,2023-06-01 18:52:01,43.93624,-122.99258,13,172,747.67,"025TxC 18.40C 932.64hPa 6.17V 05S SEE Lab at UO"
2023-06-01 18:56:38,2023-06-01 18:56:38,43.92600,-122.99414,19,205,909.52,"026TxC 16.90C 890.92hPa 5.81V 08S SEE Lab at UO"
2023-06-01 18:59:58,2023-06-01 18:59:58,43.91594,-123.00259,26,215,1270.10,"027TxC 14.80C 875.90hPa 5.69V 06S SEE Lab at UO"
2023-06-01 19:00:57,2023-06-01 19:00:57,43.91240,-123.00557,20,209,1307.90,"028TxC 14.40C 872.29hPa 6.07V 08S SEE Lab at UO"
2023-06-01 19:01:57,2023-06-01 19:01:57,43.90864,-123.00835,30,206,1307.90,"029TxC 13.80C 868.23hPa 6.20V 05S SEE Lab at UO"
2023-06-01 19:02:57,2023-06-01 19:02:57,43.90467,-123.01132,31,208,1396.90,"030TxC 13.80C 861.38hPa 6.27V 07S SEE Lab at UO"
2023-06-01 19:05:58,2023-06-01 19:05:58,43.89093,-123.02133,37,208,1609.65,"031TxC -4.50C 794.06hPa 5.74V 06S SEE Lab at UO"
2023-06-01 19:06:57,2023-06-01 19:06:57,43.88608,-123.02515,35,208,1636.17,"032TxC 12.60C 837.42hPa 6.10V 06S SEE Lab at UO"
2023-06-01 19:09:59,2023-06-01 19:09:59,43.87483,-123.03632,20,227,1730.65,"033TxC -4.40C 777.12hPa 5.69V 07S SEE Lab at UO"
2023-06-01 19:10:59,2023-06-01 19:10:59,43.87278,-123.03942,19,227,1827.58,"034TxC -2.00C 784.58hPa 6.09V 08S SEE Lab at UO"
2023-06-01 19:11:58,2023-06-01 19:11:58,43.87088,-123.04213,17,223,1931.52,"035TxC -5.90C 797.29hPa 6.22V 07S SEE Lab at UO"
2023-06-01 19:12:58,2023-06-01 19:12:58,43.86892,-123.04412,17,217,1995.22,"036TxC 13.20C 799.96hPa 6.29V 08S SEE Lab at UO"
2023-06-01 19:15:59,2023-06-01 19:15:59,43.86231,-123.05267,22,230,2009.85,"037TxC 15.10C 799.16hPa 5.73V 07S SEE Lab at UO"
2023-06-01 19:16:59,2023-06-01 19:16:59,43.85994,-123.05623,22,230,2068.98,"038TxC -4.20C 784.90hPa 6.10V 08S SEE Lab at UO"
2023-06-01 19:19:57,2023-06-01 19:19:57,43.85246,-123.06454,17,218,2064.72,"039TxC 14.30C 772.78hPa 5.69V 04S SEE Lab at UO"
2023-06-01 19:21:57,2023-06-01 19:21:57,43.84983,-123.06834,11,228,2472.23,"041TxC 12.70C 755.31hPa 6.22V 07S SEE Lab at UO"
2023-06-01 19:22:57,2023-06-01 19:22:57,43.84861,-123.06996,11,221,2472.23,"042TxC 6.10C 755.95hPa 6.30V 04S SEE Lab at UO"
2023-06-01 19:25:59,2023-06-01 19:25:59,43.84467,-123.07266,11,228,2695.35,"043TxC 11.70C 734.62hPa 5.77V 06S SEE Lab at UO"
2023-06-01 19:26:59,2023-06-01 19:26:59,43.84307,-123.07290,11,185,2735.88,"044TxC 10.60C 730.01hPa 6.14V 06S SEE Lab at UO"
2023-06-01 19:29:59,2023-06-01 19:29:59,43.84056,-123.07566,6,269,2970.28,"045TxC 10.60C 709.17hPa 5.74V 06S SEE Lab at UO"
2023-06-01 19:30:59,2023-06-01 19:30:59,43.84030,-123.07672,6,270,3033.98,"046TxC 9.30C 703.79hPa 6.12V 07S SEE Lab at UO"
2023-06-01 19:31:59,2023-06-01 19:31:59,43.84000,-123.07783,4,251,3081.53,"047TxC -14.00C 682.08hPa 6.27V 06S SEE Lab at UO"
2023-06-01 19:32:59,2023-06-01 19:32:59,43.83983,-123.07883,4,247,3107.74,"048TxC 7.60C 696.63hPa 6.35V 06S SEE Lab at UO"
2023-06-01 19:35:59,2023-06-01 19:35:59,43.84133,-123.08150,7,317,3270.20,"049TxC 7.80C 683.97hPa 5.79V 07S SEE Lab at UO"
2023-06-01 19:36:59,2023-06-01 19:36:59,43.84250,-123.08250,7,317,3337.56,"050TxC -11.80C 636.67hPa 6.17V 06S SEE Lab at UO"
2023-06-01 19:39:58,2023-06-01 19:39:58,43.84533,-123.08417,7,340,3340.00,"051TxC 7.20C 665.98hPa 5.77V 05S SEE Lab at UO"
2023-06-01 19:40:58,2023-06-01 19:40:58,43.84683,-123.08417,7,2,3489.66,"052TxC 7.20C 662.04hPa 6.17V 06S SEE Lab at UO"
2023-06-01 19:41:58,2023-06-01 19:41:58,43.84850,-123.08433,7,3,3559.45,"053TxC 6.20C 657.87hPa 6.30V 06S SEE Lab at UO"
