Time, < 0.3 PM, <0.5 PM, <1.0 PM, <2.5 PM, <10 PM
2023-06-02 00:01:29.722090, 681, 201, 41, 6, 1
2023-06-02 00:02:29.813081, 681, 201, 41, 6, 1
2023-06-02 00:03:29.871344, 666, 198, 41, 9, 1
2023-06-02 00:04:29.901381, 666, 198, 41, 9, 1
2023-06-02 00:05:29.956817, 666, 198, 41, 9, 1
2023-06-02 00:06:30.037063, 639, 190, 39, 8, 1
2023-06-02 00:07:30.061411, 639, 190, 39, 8, 1
2023-06-02 00:08:30.141692, 639, 190, 39, 8, 1
2023-06-02 00:09:30.191440, 606, 177, 35, 5, 1
2023-06-02 00:10:30.238328, 606, 177, 35, 5, 1
2023-06-02 00:11:30.301878, 606, 177, 35, 5, 1
2023-06-02 00:12:30.365661, 573, 168, 27, 4, 0
2023-06-02 00:13:30.429018, 573, 168, 27, 4, 0
2023-06-02 00:14:30.480704, 573, 168, 27, 4, 0
2023-06-02 00:15:30.560882, 567, 161, 29, 4, 0
2023-06-02 00:16:30.641056, 567, 161, 29, 4, 0
2023-06-02 00:17:30.711352, 567, 161, 29, 4, 0
2023-06-02 00:18:30.791352, 555, 157, 26, 4, 0
2023-06-02 00:19:30.871334, 555, 157, 26, 4, 0
2023-06-02 00:20:30.951537, 555, 157, 26, 4, 0
2023-06-02 00:21:31.006937, 549, 153, 23, 3, 0
2023-06-02 00:22:31.087132, 549, 153, 23, 3, 0
2023-06-02 00:23:31.167198, 549, 153, 23, 3, 0
2023-06-02 00:24:31.247389, 549, 160, 24, 3, 0
2023-06-02 00:25:31.327545, 549, 160, 24, 3, 0
2023-06-02 00:26:31.391355, 549, 160, 24, 3, 0
2023-06-02 00:27:31.471526, 582, 168, 22, 3, 0
2023-06-02 00:28:31.551690, 582, 168, 22, 3, 0
2023-06-02 00:29:31.631864, 582, 168, 22, 3, 0
2023-06-02 00:30:31.712061, 570, 165, 24, 6, 1
2023-06-02 00:31:31.792297, 570, 165, 24, 6, 1
2023-06-02 00:32:31.872346, 570, 165, 24, 6, 1
2023-06-02 00:33:31.952455, 573, 165, 20, 3, 1
2023-06-02 00:34:32.032525, 573, 165, 20, 3, 1
2023-06-02 00:35:32.093154, 573, 165, 20, 3, 1
2023-06-02 00:36:32.173372, 0, 0, 0, 0, 0
2023-06-02 00:37:32.253470, 0, 0, 0, 0, 0
2023-06-02 00:38:32.333520, 0, 0, 0, 0, 0
2023-06-02 00:39:32.399587, 0, 0, 0, 0, 0
